Material,Crack Length (mm),Test Temperature (F),Material Thickness (mm),Failure Load (kN),Source
Al 6061,3.683,70.0,4.65,25.030398848205543,synthetic
Al 6061,3.683,70.0,4.65,25.50829507439013,synthetic
Al 6061,3.683,70.0,4.65,25.393394247155793,synthetic
Al 6061,3.683,145.0,4.65,25.858313421311493,synthetic
Al 6061,3.683,70.0,4.65,25.71215425313336,synthetic
Al 6061,3.683,-60.0,4.65,25.06450127060889,synthetic
Al 6061,3.683,70.0,4.65,25.2626158086484,synthetic
Al 6061,3.683,-60.0,4.65,25.89472631104227,synthetic
Al 6061,3.683,-60.0,4.65,25.077580762049827,synthetic
Al 6061,3.683,70.0,4.65,25.119204113530348,synthetic
A36 Steel,4.948,145.0,2.0,18.21478108086123,synthetic
A36 Steel,7.62,70.0,4.0,18.5288110868423,synthetic
A36 Steel,3.048,70.0,2.0,29.430862055247722,synthetic
A36 Steel,4.948,-60.0,3.15,16.252113498709488,synthetic
A36 Steel,4.948,-60.0,2.0,18.59220634993768,synthetic
A36 Steel,3.683,70.0,3.15,30.097382100658876,synthetic
A36 Steel,3.048,70.0,3.15,31.82983174879582,synthetic
A36 Steel,3.048,70.0,3.25,30.802577578731082,synthetic
A36 Steel,3.048,70.0,3.15,34.04652364168217,synthetic
A36 Steel,7.62,145.0,3.15,14.136348343405945,synthetic
A36 Steel,7.62,70.0,3.15,10.74529930855891,synthetic
A36 Steel,3.048,70.0,3.25,34.13696740803808,synthetic
A36 Steel,3.048,-60.0,4.0,34.841430599750296,synthetic
A36 Steel,7.62,145.0,3.25,23.200299469175153,synthetic
A36 Steel,3.683,145.0,3.15,26.276375892790238,synthetic
A36 Steel,7.62,-60.0,3.15,13.48847306675928,synthetic
A36 Steel,4.948,145.0,4.0,25.65103017558082,synthetic
A36 Steel,3.048,-60.0,4.0,35.611472453768144,synthetic
A36 Steel,4.948,-60.0,3.25,27.386910380567286,synthetic
A36 Steel,7.62,-60.0,2.0,11.914753167272222,synthetic
A36 Steel,4.948,70.0,3.25,28.25913990163353,synthetic
A36 Steel,4.948,70.0,2.0,19.06208853794063,synthetic
A36 Steel,4.948,-60.0,3.15,17.60235291679469,synthetic
A36 Steel,3.683,-60.0,2.0,16.068439140847552,synthetic
A36 Steel,4.948,-60.0,3.25,25.584432889982757,synthetic
A36 Steel,3.683,145.0,2.0,20.073097349470196,synthetic
A36 Steel,3.048,145.0,3.15,32.85137366755293,synthetic
A36 Steel,7.62,-60.0,2.0,8.798825855176919,synthetic
A36 Steel,4.948,70.0,2.0,20.548165879022815,synthetic
A36 Steel,7.62,-60.0,4.0,23.046915177045683,synthetic
A36 Steel,4.948,70.0,2.0,17.51615579604295,synthetic
A36 Steel,7.62,145.0,3.15,13.710184775869518,synthetic
A36 Steel,3.048,70.0,2.0,24.697108376228087,synthetic
A36 Steel,3.048,-60.0,3.25,34.16456582267764,synthetic
A36 Steel,3.683,145.0,3.15,19.745800747596988,synthetic
A36 Steel,3.683,-60.0,3.15,28.55116623235584,synthetic
A36 Steel,4.948,70.0,3.15,22.018705265001614,synthetic
A36 Steel,7.62,70.0,4.65,28.83187403415974,synthetic
A36 Steel,3.048,70.0,2.0,24.035568533756166,synthetic
A36 Steel,4.948,70.0,2.0,13.140134061385549,synthetic
A36 Steel,4.948,-60.0,3.15,26.902199729323684,synthetic
A36 Steel,3.683,70.0,4.0,33.14576402715548,synthetic
A36 Steel,7.62,70.0,4.0,24.39278085376464,synthetic
A36 Steel,4.948,145.0,3.25,27.530541281133573,synthetic
A36 Steel,4.948,-60.0,3.25,22.739778729495765,synthetic
A36 Steel,3.683,145.0,4.0,32.86923059269802,synthetic
A36 Steel,3.048,70.0,2.0,26.523030639789845,synthetic
A36 Steel,7.62,70.0,4.0,19.58161441102758,synthetic
A36 Steel,4.948,70.0,3.15,23.483060561642667,synthetic
A36 Steel,4.948,-60.0,3.25,17.928025004432083,synthetic
A36 Steel,4.948,145.0,2.0,17.151089585197134,synthetic
A36 Steel,4.948,70.0,2.0,12.06059726375514,synthetic
A36 Steel,4.948,70.0,4.0,23.474929912851017,synthetic
A36 Steel,3.683,-60.0,2.0,24.642343465097657,synthetic
A36 Steel,3.048,-60.0,4.0,40.0361192106021,synthetic
A36 Steel,4.948,145.0,4.65,38.45790769587205,synthetic
A36 Steel,4.948,70.0,3.25,21.288077566791436,synthetic
A36 Steel,7.62,70.0,4.0,21.793207942589287,synthetic
A36 Steel,4.948,70.0,4.0,26.361593997887717,synthetic
A36 Steel,3.048,-60.0,3.25,37.67550280519861,synthetic
A36 Steel,4.948,145.0,3.25,26.70297014967543,synthetic
A36 Steel,3.683,70.0,2.0,9.676867185048964,synthetic
A36 Steel,4.948,-60.0,2.0,18.3249739240644,synthetic
A36 Steel,7.62,145.0,2.0,10.141645647439892,synthetic
A36 Steel,4.948,70.0,3.25,24.401073204306115,synthetic
A36 Steel,4.948,-60.0,4.65,31.614033924822632,synthetic
A36 Steel,4.948,-60.0,3.25,20.956158798492,synthetic
A36 Steel,7.62,70.0,2.0,12.7808530209943,synthetic
A36 Steel,4.948,70.0,3.15,17.34570056114333,synthetic
A36 Steel,3.048,-60.0,3.15,26.504135757745647,synthetic
A36 Steel,4.948,145.0,2.0,13.727283517773682,synthetic
A36 Steel,3.048,70.0,4.0,34.09811218752337,synthetic
A36 Steel,3.683,-60.0,4.65,37.24289681391434,synthetic
A36 Steel,4.948,-60.0,4.0,24.474550420579856,synthetic
A36 Steel,3.683,70.0,2.0,20.329315836694253,synthetic
A36 Steel,4.948,145.0,4.0,29.571695713760427,synthetic
A36 Steel,3.048,-60.0,2.0,20.002560618517418,synthetic
A36 Steel,3.048,70.0,3.25,29.030941499043642,synthetic
A36 Steel,4.948,145.0,4.65,35.80242439342854,synthetic
A36 Steel,3.683,145.0,3.15,22.695898429695042,synthetic
A36 Steel,7.62,-60.0,3.15,17.05390886979749,synthetic
A36 Steel,7.62,70.0,3.25,20.423195892003783,synthetic
A36 Steel,3.048,145.0,3.25,39.61079896110998,synthetic
A36 Steel,4.948,70.0,2.0,14.178727210419321,synthetic
A36 Steel,3.683,145.0,4.0,30.968575274673192,synthetic
A36 Steel,4.948,70.0,3.25,23.646414316791073,synthetic
A36 Steel,4.948,145.0,3.25,28.2151940365928,synthetic
A36 Steel,3.048,70.0,2.0,22.499982092225803,synthetic
A36 Steel,7.62,-60.0,3.25,11.98083487376969,synthetic
A36 Steel,3.048,145.0,3.15,26.209086183179423,synthetic
A36 Steel,3.683,70.0,3.25,33.16347438143322,synthetic
A36 Steel,7.62,70.0,4.0,21.111849013593094,synthetic
A36 Steel,3.048,-60.0,4.0,40.0361192106021,synthetic
A36 Steel,7.62,-60.0,3.15,17.08509876343756,synthetic
A36 Steel,7.62,70.0,4.0,23.83432069961591,synthetic
A36 Steel,3.048,145.0,3.25,32.046145274107914,synthetic
A36 Steel,3.683,70.0,3.15,22.476319187036257,synthetic
A36 Steel,7.62,-60.0,3.15,11.523332994499318,synthetic
A36 Steel,3.048,70.0,4.65,40.0361192106021,synthetic
A36 Steel,7.62,-60.0,4.0,19.021907557095567,synthetic
A36 Steel,3.048,70.0,3.15,31.568216357149645,synthetic
Al 6061,3.048,-60.0,2.0,12.68018924313566,synthetic
Al 6061,4.948,70.0,3.25,13.1691924215055,synthetic
Al 6061,3.048,70.0,2.0,17.79532909573706,synthetic
Al 6061,4.948,145.0,2.0,11.18357040371616,synthetic
Al 6061,3.048,-60.0,3.25,19.580228679124673,synthetic
Al 6061,3.683,145.0,3.25,16.731881696665972,synthetic
Al 6061,3.048,-60.0,3.15,15.760896383249792,synthetic
Al 6061,3.048,145.0,3.15,19.461676245466077,synthetic
Al 6061,7.62,145.0,3.15,6.895775483550178,synthetic
Al 6061,3.683,70.0,3.15,15.749082570166733,synthetic
Al 6061,4.948,145.0,3.25,16.422481727547492,synthetic
Al 6061,4.948,145.0,4.0,20.01006245129911,synthetic
Al 6061,4.948,-60.0,3.15,16.045297991062668,synthetic
Al 6061,3.048,145.0,4.0,20.83124902138825,synthetic
Al 6061,3.683,145.0,2.0,5.89230123918275,synthetic
Al 6061,4.948,145.0,2.0,5.89230123918275,synthetic
Al 6061,7.62,70.0,3.15,10.622366229437528,synthetic
Al 6061,4.948,-60.0,2.0,8.634002155887826,synthetic
Al 6061,3.683,70.0,3.15,16.763120738502238,synthetic
Al 6061,4.948,145.0,3.15,10.137140259497984,synthetic
Al 6061,7.62,70.0,2.0,7.6453753677351575,synthetic
Al 6061,7.62,145.0,2.0,9.016976078588064,synthetic
Al 6061,3.683,70.0,2.0,12.431792527291115,synthetic
Al 6061,4.948,70.0,3.15,10.546613177241246,synthetic
Al 6061,3.048,70.0,3.15,17.880413758743625,synthetic
Al 6061,7.62,-60.0,2.0,7.979659454851637,synthetic
Al 6061,3.048,-60.0,3.25,19.26800936334657,synthetic
Al 6061,4.948,70.0,3.25,14.20475667125506,synthetic
Al 6061,4.948,70.0,3.15,13.64141655435445,synthetic
Al 6061,3.683,70.0,3.25,19.047746934120852,synthetic
Al 6061,4.948,145.0,2.0,9.566343768007139,synthetic
Al 6061,3.048,-60.0,3.15,18.984249277803787,synthetic
Al 6061,4.948,145.0,4.0,17.368530459271586,synthetic
Al 6061,4.948,70.0,3.15,11.472774568951616,synthetic
Al 6061,7.62,70.0,2.0,5.89230123918275,synthetic
Al 6061,3.683,70.0,3.15,13.63082401984736,synthetic
Al 6061,4.948,-60.0,2.0,8.444632728495884,synthetic
Al 6061,7.62,70.0,2.0,7.179871209273369,synthetic
Al 6061,4.948,-60.0,3.15,13.208100231658776,synthetic
Al 6061,3.683,70.0,2.0,12.845615778709279,synthetic
Al 6061,7.62,70.0,2.0,5.89230123918275,synthetic
Al 6061,4.948,70.0,3.25,16.778571979530593,synthetic
Al 6061,3.048,145.0,2.0,19.150443560094608,synthetic
Al 6061,3.048,70.0,3.25,20.861537013215713,synthetic
Al 6061,7.62,-60.0,3.15,8.166588366965748,synthetic
Al 6061,3.048,70.0,3.15,19.95891673975233,synthetic
Al 6061,3.048,70.0,3.25,18.243621245707114,synthetic
Al 6061,4.948,145.0,2.0,6.4535198850482605,synthetic
Al 6061,4.948,-60.0,3.15,14.513362695019632,synthetic
Al 6061,7.62,-60.0,3.15,11.763754052195022,synthetic
Al 6061,3.683,70.0,3.15,13.642354548107187,synthetic
Al 6061,4.948,145.0,3.15,13.68417984359258,synthetic
Al 6061,4.948,70.0,3.15,13.079817552915785,synthetic
Al 6061,3.048,70.0,2.0,15.548813261406703,synthetic
Al 6061,7.62,70.0,3.15,9.42659255948826,synthetic
Al 6061,4.948,70.0,2.0,8.876580201135617,synthetic
Al 6061,3.048,-60.0,2.0,16.63981434215438,synthetic
Al 6061,7.62,70.0,3.15,10.612944585137289,synthetic
Al 6061,3.048,145.0,4.0,21.633427461890896,synthetic
Al 6061,7.62,70.0,2.0,7.884072520743089,synthetic
Al 6061,3.048,-60.0,2.0,14.197107679269447,synthetic
Al 6061,4.948,145.0,3.25,15.023438909323165,synthetic
Al 6061,4.948,-60.0,2.0,12.336629988918414,synthetic
Al 6061,7.62,145.0,3.25,11.506246868179137,synthetic
Al 6061,3.683,70.0,3.15,14.234379006080013,synthetic
Al 6061,3.683,145.0,3.25,17.739935214109448,synthetic
Al 6061,7.62,-60.0,2.0,5.89230123918275,synthetic
Al 6061,3.683,-60.0,4.0,19.906336068427724,synthetic
Al 6061,7.62,70.0,2.0,6.989661458919565,synthetic
Al 6061,7.62,70.0,2.0,8.359541679403762,synthetic
Al 6061,7.62,70.0,2.0,8.765834059724769,synthetic
Al 6061,7.62,70.0,3.25,12.431403287567822,synthetic
Al 6061,7.62,145.0,2.0,5.89230123918275,synthetic
Al 6061,4.948,-60.0,2.0,6.3487265279888465,synthetic
Al 6061,4.948,70.0,3.15,12.244527690453205,synthetic
Al 6061,7.62,-60.0,3.15,9.653323432048266,synthetic
Al 6061,3.048,145.0,3.15,16.509507371040236,synthetic
Al 6061,3.683,-60.0,3.25,17.274059102979663,synthetic
Al 6061,3.048,145.0,3.25,19.837483197152547,synthetic
Al 6061,4.948,145.0,2.0,11.697290511521933,synthetic
Al 6061,7.62,70.0,3.15,8.446453694882432,synthetic
Al 6061,4.948,-60.0,3.15,13.73062989345182,synthetic
Al 6061,3.683,70.0,3.15,16.35763440877149,synthetic
Al 6061,3.683,70.0,3.15,16.471780572004597,synthetic
Al 6061,7.62,145.0,3.15,6.151442386991622,synthetic
Al 6061,3.683,70.0,3.15,14.693358324091161,synthetic
Al 6061,3.048,70.0,2.0,13.228980928925704,synthetic
Al 6061,4.948,70.0,3.15,12.814891029341329,synthetic
Al 6061,3.048,70.0,2.0,11.998836541914608,synthetic
Al 6061,4.948,70.0,2.0,8.22143772546447,synthetic
Al 6061,4.948,145.0,3.15,12.274056131470513,synthetic
Al 6061,3.048,70.0,3.15,14.845271727487606,synthetic
Al 6061,4.948,70.0,3.15,11.703029488197439,synthetic
Al 6061,4.948,-60.0,2.0,9.660284770936606,synthetic
Al 6061,4.948,145.0,3.25,16.844024977191403,synthetic
Al 6061,4.948,70.0,3.15,12.758632912978905,synthetic
Al 6061,4.948,145.0,2.0,11.29044673975118,synthetic
Al 6061,3.048,70.0,4.0,19.172101941715976,synthetic
Al 6061,3.048,145.0,3.15,17.136042765291496,synthetic
Al 6061,3.048,70.0,3.15,19.78347457430009,synthetic
