Material,Material Thickness (mm),Patch,Patch Thickness (mm),Test Temperature (F),Failure Load (kN),Source
Al 6061,4.65,Glass-Fiber,1.0,-60.0,29.5,experimental
Al 6061,4.65,Glass-Fiber,1.0,-60.0,31.3,experimental
Al 6061,4.65,Glass-Fiber,1.0,-60.0,31.1,experimental
Al 6061,4.65,Carbon-Fiber,0.89,70.0,32.8,experimental
Al 6061,4.65,Carbon-Fiber,0.89,70.0,32.1,experimental
Al 6061,4.65,Carbon-Fiber,0.89,70.0,32.2,experimental
Al 6061,4.65,Carbon-Fiber,0.89,145.0,27.1,experimental
Al 6061,4.65,Carbon-Fiber,0.89,145.0,26.5,experimental
Al 6061,4.65,Carbon-Fiber,0.89,145.0,27.0,experimental
Al 6061,4.65,Carbon-Fiber,0.89,-60.0,31.8,experimental
Al 6061,4.65,Carbon-Fiber,0.89,-60.0,31.7,experimental
Al 6061,4.65,Carbon-Fiber,0.89,-60.0,31.3,experimental
Al 6061,4.65,Glass-Fiber,1.64,70.0,33.1,experimental
Al 6061,4.65,Glass-Fiber,1.64,70.0,33.6,experimental
Al 6061,4.65,Glass-Fiber,1.64,70.0,32.8,experimental
Al 6061,4.65,Glass-Fiber,1.64,145.0,28.8,experimental
Al 6061,4.65,Glass-Fiber,1.64,145.0,28.2,experimental
Al 6061,4.65,Glass-Fiber,1.64,145.0,27.3,experimental
Al 6061,4.65,Glass-Fiber,1.64,-60.0,32.7,experimental
Al 6061,4.65,Glass-Fiber,1.64,-60.0,32.6,experimental
Al 6061,4.65,Glass-Fiber,1.64,-60.0,32.8,experimental
Al 6061,3.15,Glass-Fiber,1.0,70.0,20.95,FE Predictions
Al 6061,3.15,Glass-Fiber,1.0,145.0,18.42,FE Predictions
Al 6061,3.15,Glass-Fiber,1.0,-60.0,19.83,FE Predictions
Al 6061,3.15,Carbon-Fiber,0.89,70.0,22.15,FE Predictions
Al 6061,3.15,Carbon-Fiber,0.89,145.0,18.77,FE Predictions
Al 6061,3.15,Carbon-Fiber,0.89,-60.0,20.35,FE Predictions
A36 Steel,3.25,Glass-Fiber,1.0,70.0,31.5,FE Predictions
A36 Steel,3.25,Glass-Fiber,1.0,145.0,30.01,FE Predictions
A36 Steel,3.25,Glass-Fiber,1.0,-60.0,30.03,FE Predictions
A36 Steel,3.25,Carbon-Fiber,0.89,70.0,33.08,FE Predictions
A36 Steel,3.25,Carbon-Fiber,0.89,145.0,29.71,FE Predictions
A36 Steel,3.25,Carbon-Fiber,0.89,-60.0,30.6,FE Predictions
Al 6061,3.25,Carbon-Fiber,0.89,70.0,25.554054338183924,synthetic
Al 6061,3.25,Glass-Fiber,1.0,145.0,23.728454984123463,synthetic
Al 6061,4.65,Glass-Fiber,1.0,70.0,31.227436431711357,synthetic
Al 6061,3.15,Carbon-Fiber,0.89,70.0,18.42,synthetic
Al 6061,3.15,Glass-Fiber,1.0,-60.0,21.44112008106803,synthetic
Al 6061,3.15,Carbon-Fiber,0.89,70.0,18.42,synthetic
Al 6061,3.25,Carbon-Fiber,0.89,145.0,22.84001504039229,synthetic
Al 6061,4.65,Glass-Fiber,1.0,-60.0,28.96325650125581,synthetic
Al 6061,3.15,Carbon-Fiber,0.89,70.0,20.556365046958224,synthetic
Al 6061,4.65,Glass-Fiber,1.0,70.0,33.951709925390716,synthetic
Al 6061,3.25,Carbon-Fiber,0.89,70.0,25.9426546560924,synthetic
Al 6061,4.65,Glass-Fiber,1.0,70.0,30.62620060152065,synthetic
Al 6061,4.65,Glass-Fiber,1.0,70.0,27.974395066316898,synthetic
Al 6061,3.15,Glass-Fiber,1.0,70.0,23.072601767724144,synthetic
Al 6061,3.25,Carbon-Fiber,0.89,-60.0,23.520173553915924,synthetic
Al 6061,3.25,Glass-Fiber,1.0,70.0,24.762651408286583,synthetic
Al 6061,3.15,Glass-Fiber,1.0,145.0,18.42,synthetic
Al 6061,3.15,Glass-Fiber,1.0,70.0,21.368275085516363,synthetic
Al 6061,3.25,Carbon-Fiber,0.89,145.0,24.13799750196021,synthetic
Al 6061,3.15,Glass-Fiber,1.0,145.0,20.109636602511102,synthetic
Al 6061,3.15,Carbon-Fiber,0.89,70.0,18.42,synthetic
Al 6061,3.15,Carbon-Fiber,0.89,70.0,23.320237632907826,synthetic
Al 6061,3.15,Glass-Fiber,1.0,70.0,21.14803297057961,synthetic
Al 6061,3.25,Glass-Fiber,1.0,70.0,19.21371104845729,synthetic
Al 6061,4.65,Glass-Fiber,1.0,70.0,30.517969037777203,synthetic
Al 6061,3.15,Carbon-Fiber,0.89,70.0,27.399693085666613,synthetic
Al 6061,3.25,Carbon-Fiber,0.89,145.0,20.699093612905575,synthetic
Al 6061,4.65,Glass-Fiber,1.0,70.0,34.275127322422186,synthetic
Al 6061,3.25,Glass-Fiber,1.0,70.0,21.842518718664422,synthetic
Al 6061,3.15,Glass-Fiber,1.0,145.0,19.64621425678893,synthetic
Al 6061,3.25,Glass-Fiber,1.0,-60.0,27.29056309136767,synthetic
Al 6061,3.25,Glass-Fiber,1.0,-60.0,23.215810917583738,synthetic
Al 6061,3.25,Glass-Fiber,1.0,70.0,21.076667070132356,synthetic
Al 6061,4.65,Carbon-Fiber,0.89,-60.0,34.3,synthetic
Al 6061,4.65,Glass-Fiber,1.0,70.0,27.3600324732429,synthetic
Al 6061,3.25,Carbon-Fiber,0.89,70.0,21.574841712044545,synthetic
Al 6061,4.65,Carbon-Fiber,0.89,-60.0,29.087415738248595,synthetic
Al 6061,3.25,Carbon-Fiber,0.89,70.0,24.0774836497543,synthetic
Al 6061,3.15,Carbon-Fiber,0.89,-60.0,20.60194907131431,synthetic
Al 6061,3.25,Carbon-Fiber,0.89,70.0,26.763242474254152,synthetic
Al 6061,3.25,Carbon-Fiber,0.89,-60.0,24.741826456410312,synthetic
Al 6061,4.65,Carbon-Fiber,0.89,145.0,27.32457227229446,synthetic
Al 6061,4.65,Carbon-Fiber,0.89,70.0,27.805339381524547,synthetic
Al 6061,3.15,Carbon-Fiber,0.89,-60.0,19.279786731443526,synthetic
Al 6061,4.65,Glass-Fiber,1.0,-60.0,30.638440485092776,synthetic
Al 6061,3.25,Carbon-Fiber,0.89,70.0,24.705702000337418,synthetic
Al 6061,4.65,Carbon-Fiber,0.89,-60.0,33.2297905489411,synthetic
Al 6061,3.25,Glass-Fiber,1.0,145.0,22.582267212318737,synthetic
Al 6061,3.15,Glass-Fiber,1.0,145.0,22.34979736406436,synthetic
Al 6061,3.25,Carbon-Fiber,0.89,145.0,18.660547120751318,synthetic
Al 6061,3.25,Glass-Fiber,1.0,70.0,23.694486964368373,synthetic
Al 6061,4.65,Glass-Fiber,1.0,-60.0,29.18143858911245,synthetic
Al 6061,3.15,Carbon-Fiber,0.89,70.0,21.55312802299173,synthetic
Al 6061,4.65,Glass-Fiber,1.0,70.0,31.69424107684324,synthetic
Al 6061,3.25,Glass-Fiber,1.0,70.0,21.47128248876434,synthetic
Al 6061,4.65,Glass-Fiber,1.0,70.0,28.76181290465654,synthetic
Al 6061,4.65,Glass-Fiber,1.0,70.0,26.23880344638635,synthetic
Al 6061,3.25,Glass-Fiber,1.0,70.0,22.28665802289827,synthetic
Al 6061,4.65,Glass-Fiber,1.0,145.0,34.3,synthetic
Al 6061,4.65,Carbon-Fiber,0.89,70.0,26.034146889440233,synthetic
Al 6061,4.65,Glass-Fiber,1.0,-60.0,29.16507540524913,synthetic
Al 6061,4.65,Carbon-Fiber,0.89,145.0,25.680423246522757,synthetic
Al 6061,3.15,Glass-Fiber,1.0,145.0,18.953771124307607,synthetic
Al 6061,4.65,Carbon-Fiber,0.89,70.0,24.9132097409221,synthetic
Al 6061,3.25,Carbon-Fiber,0.89,145.0,22.227363701241682,synthetic
Al 6061,3.25,Glass-Fiber,1.0,70.0,20.396461543672153,synthetic
Al 6061,3.25,Glass-Fiber,1.0,145.0,22.863745494842824,synthetic
Al 6061,3.25,Carbon-Fiber,0.89,145.0,18.913357779302867,synthetic
Al 6061,3.25,Carbon-Fiber,0.89,-60.0,26.181006263636252,synthetic
Al 6061,3.25,Carbon-Fiber,0.89,70.0,29.51441283868347,synthetic
Al 6061,4.65,Glass-Fiber,1.0,145.0,24.244825555845747,synthetic
Al 6061,4.65,Glass-Fiber,1.0,-60.0,34.3,synthetic
Al 6061,3.15,Carbon-Fiber,0.89,70.0,18.42,synthetic
Al 6061,4.65,Glass-Fiber,1.0,70.0,27.510673427254385,synthetic
Al 6061,3.25,Glass-Fiber,1.0,-60.0,21.62822858421726,synthetic
Al 6061,4.65,Glass-Fiber,1.0,145.0,29.69853178276773,synthetic
Al 6061,4.65,Carbon-Fiber,0.89,70.0,30.423495593600038,synthetic
Al 6061,3.25,Carbon-Fiber,0.89,-60.0,23.058566155185297,synthetic
Al 6061,3.15,Glass-Fiber,1.0,70.0,18.42,synthetic
Al 6061,4.65,Glass-Fiber,1.0,70.0,29.11967632796444,synthetic
Al 6061,3.15,Glass-Fiber,1.0,70.0,19.863778141852062,synthetic
Al 6061,4.65,Carbon-Fiber,0.89,70.0,30.318325766048577,synthetic
Al 6061,4.65,Glass-Fiber,1.0,70.0,27.209418996131024,synthetic
Al 6061,4.65,Carbon-Fiber,0.89,70.0,34.3,synthetic
Al 6061,3.25,Carbon-Fiber,0.89,-60.0,20.635754928215157,synthetic
Al 6061,3.25,Glass-Fiber,1.0,-60.0,26.51502280970094,synthetic
Al 6061,4.65,Carbon-Fiber,0.89,70.0,26.49382223023832,synthetic
Al 6061,4.65,Glass-Fiber,1.0,145.0,29.78173386030284,synthetic
Al 6061,3.25,Carbon-Fiber,0.89,70.0,26.1152939883672,synthetic
Al 6061,3.25,Glass-Fiber,1.0,70.0,22.900683628459845,synthetic
Al 6061,3.25,Carbon-Fiber,0.89,70.0,22.73559845012751,synthetic
Al 6061,3.25,Carbon-Fiber,0.89,70.0,26.096387844817148,synthetic
Al 6061,3.25,Glass-Fiber,1.0,70.0,22.881906791353313,synthetic
Al 6061,4.65,Glass-Fiber,1.0,145.0,29.53344685248194,synthetic
Al 6061,3.15,Glass-Fiber,1.0,145.0,20.10612215775926,synthetic
Al 6061,3.15,Carbon-Fiber,0.89,145.0,18.83853948406609,synthetic
Al 6061,4.65,Glass-Fiber,1.0,70.0,32.72100547848395,synthetic
Al 6061,3.25,Carbon-Fiber,0.89,70.0,24.20902123171011,synthetic
Al 6061,3.25,Carbon-Fiber,0.89,70.0,23.891258585163797,synthetic
Al 6061,3.25,Carbon-Fiber,0.89,-60.0,24.539420763946687,synthetic
Al 6061,4.65,Carbon-Fiber,0.89,-60.0,26.84172727810866,synthetic
Al 6061,4.65,Carbon-Fiber,0.89,70.0,34.3,synthetic
Al 6061,4.65,Carbon-Fiber,0.89,70.0,32.790638917912645,synthetic
Al 6061,4.65,Glass-Fiber,1.0,145.0,25.118812195885987,synthetic
Al 6061,4.65,Carbon-Fiber,0.89,70.0,28.62264708171219,synthetic
Al 6061,3.15,Carbon-Fiber,0.89,145.0,18.42,synthetic
Al 6061,4.65,Carbon-Fiber,0.89,70.0,30.825142815285687,synthetic
Al 6061,3.25,Carbon-Fiber,0.89,145.0,20.229399591175287,synthetic
Al 6061,4.65,Glass-Fiber,1.0,145.0,27.14925936300796,synthetic
Al 6061,3.15,Carbon-Fiber,0.89,-60.0,19.668275122288318,synthetic
Al 6061,4.65,Carbon-Fiber,0.89,-60.0,28.836626782772893,synthetic
Al 6061,3.25,Carbon-Fiber,0.89,70.0,25.31330586783259,synthetic
Al 6061,3.15,Carbon-Fiber,0.89,70.0,19.605112176548303,synthetic
Al 6061,3.25,Glass-Fiber,1.0,70.0,24.78259689084516,synthetic
Al 6061,3.25,Glass-Fiber,1.0,-60.0,22.35416696568961,synthetic
Al 6061,3.15,Glass-Fiber,1.0,-60.0,22.24735255985302,synthetic
Al 6061,4.65,Carbon-Fiber,0.89,145.0,28.569934625579645,synthetic
Al 6061,3.25,Carbon-Fiber,0.89,-60.0,26.072501859854537,synthetic
Al 6061,3.25,Glass-Fiber,1.0,145.0,24.050415119410722,synthetic
Al 6061,3.25,Carbon-Fiber,0.89,-60.0,25.555170110812043,synthetic
Al 6061,3.15,Carbon-Fiber,0.89,70.0,18.42,synthetic
Al 6061,4.65,Glass-Fiber,1.0,70.0,29.828836719095545,synthetic
Al 6061,3.25,Glass-Fiber,1.0,70.0,21.99387366373579,synthetic
Al 6061,4.65,Glass-Fiber,1.0,70.0,33.503824453464574,synthetic
Al 6061,3.15,Glass-Fiber,1.0,-60.0,22.251476965879032,synthetic
Al 6061,3.25,Carbon-Fiber,0.89,-60.0,23.84524083318258,synthetic
Al 6061,4.65,Carbon-Fiber,0.89,70.0,27.392237627935295,synthetic
Al 6061,3.15,Carbon-Fiber,0.89,-60.0,18.42,synthetic
Al 6061,4.65,Glass-Fiber,1.0,-60.0,32.15884358274946,synthetic
Al 6061,3.15,Carbon-Fiber,0.89,-60.0,20.759586209466736,synthetic
Al 6061,4.65,Glass-Fiber,1.64,145.0,31.695875103212508,synthetic
A36 Steel,3.25,Glass-Fiber,1.0,145.0,30.121888291007085,synthetic
Al 6061,4.65,Glass-Fiber,1.64,145.0,28.206330851545864,synthetic
A36 Steel,3.25,Glass-Fiber,1.0,70.0,31.997080748805388,synthetic
Al 6061,4.65,Glass-Fiber,1.64,-60.0,31.947274590732626,synthetic
Al 6061,4.65,Glass-Fiber,1.64,70.0,31.184455665009956,synthetic
Al 6061,4.65,Glass-Fiber,1.64,70.0,31.30436927978006,synthetic
Al 6061,4.65,Glass-Fiber,1.64,70.0,33.243993646457085,synthetic
A36 Steel,3.25,Glass-Fiber,1.0,70.0,33.04278003595243,synthetic
Al 6061,4.65,Glass-Fiber,1.64,-60.0,34.3,synthetic
Al 6061,4.65,Glass-Fiber,1.64,145.0,30.039038046010088,synthetic
A36 Steel,3.25,Glass-Fiber,1.0,-60.0,34.3,synthetic
A36 Steel,3.25,Glass-Fiber,1.0,70.0,31.035112173559465,synthetic
A36 Steel,3.15,Glass-Fiber,1.0,145.0,26.85971530921115,synthetic
Al 6061,4.65,Glass-Fiber,1.64,70.0,26.33645222183298,synthetic
Al 6061,4.65,Glass-Fiber,1.64,70.0,33.229390957789086,synthetic
A36 Steel,3.25,Glass-Fiber,1.0,70.0,27.642683375169533,synthetic
Al 6061,4.65,Glass-Fiber,1.64,145.0,27.2864571718091,synthetic
A36 Steel,3.25,Glass-Fiber,1.0,145.0,28.223332805766628,synthetic
Al 6061,4.65,Glass-Fiber,1.64,-60.0,33.37556343649409,synthetic
A36 Steel,3.25,Glass-Fiber,1.0,70.0,27.630872967213694,synthetic
A36 Steel,3.25,Glass-Fiber,1.0,-60.0,31.70593686249267,synthetic
Al 6061,4.65,Glass-Fiber,1.64,70.0,31.51740683232477,synthetic
A36 Steel,3.25,Glass-Fiber,1.0,145.0,29.01763460066927,synthetic
Al 6061,4.65,Glass-Fiber,1.64,-60.0,32.882310105008,synthetic
A36 Steel,3.25,Glass-Fiber,1.0,145.0,30.521636666811816,synthetic
Al 6061,4.65,Glass-Fiber,1.64,145.0,32.63990547810289,synthetic
Al 6061,4.65,Glass-Fiber,1.64,145.0,30.253185466174934,synthetic
Al 6061,4.65,Glass-Fiber,1.64,-60.0,30.213501074203066,synthetic
Al 6061,4.65,Glass-Fiber,1.64,70.0,31.01360905323427,synthetic
A36 Steel,3.15,Glass-Fiber,0.89,-60.0,29.693162630020947,synthetic
A36 Steel,3.25,Glass-Fiber,1.0,70.0,32.71582224322875,synthetic
A36 Steel,3.25,Glass-Fiber,1.0,145.0,31.062593407272377,synthetic
A36 Steel,3.25,Glass-Fiber,1.0,-60.0,34.3,synthetic
A36 Steel,3.25,Glass-Fiber,1.0,70.0,30.950358508900965,synthetic
A36 Steel,3.25,Glass-Fiber,1.0,70.0,28.685842584546698,synthetic
Al 6061,4.65,Glass-Fiber,1.64,70.0,29.620791331433466,synthetic
Al 6061,4.65,Glass-Fiber,1.64,-60.0,34.3,synthetic
A36 Steel,3.15,Glass-Fiber,0.89,145.0,29.466384986830985,synthetic
A36 Steel,3.15,Glass-Fiber,0.89,70.0,31.239721932663162,synthetic
A36 Steel,3.25,Glass-Fiber,1.0,145.0,29.060790440359995,synthetic
Al 6061,4.65,Glass-Fiber,1.64,70.0,29.86277997573776,synthetic
Al 6061,4.65,Glass-Fiber,1.64,145.0,31.930716540813446,synthetic
Al 6061,4.65,Glass-Fiber,1.64,145.0,33.91570097999537,synthetic
Al 6061,4.65,Glass-Fiber,1.64,70.0,28.51319631355303,synthetic
A36 Steel,3.15,Glass-Fiber,0.89,-60.0,32.561234524803446,synthetic
A36 Steel,3.25,Glass-Fiber,1.0,-60.0,32.52793536795922,synthetic
A36 Steel,3.25,Glass-Fiber,1.0,145.0,28.06756282907848,synthetic
Al 6061,4.65,Glass-Fiber,1.64,-60.0,33.93473526641267,synthetic
Al 6061,4.65,Glass-Fiber,1.64,-60.0,33.485883700951376,synthetic
A36 Steel,3.25,Glass-Fiber,1.0,70.0,34.18925420982428,synthetic
Al 6061,4.65,Glass-Fiber,1.64,145.0,30.118795584157287,synthetic
A36 Steel,3.25,Glass-Fiber,1.0,145.0,28.908337784843326,synthetic
Al 6061,4.65,Glass-Fiber,1.64,70.0,30.226868710745066,synthetic
A36 Steel,3.25,Glass-Fiber,1.0,70.0,31.762528775269132,synthetic
A36 Steel,3.15,Glass-Fiber,0.89,145.0,25.764387745435094,synthetic
Al 6061,4.65,Glass-Fiber,1.64,-60.0,34.3,synthetic
A36 Steel,3.25,Glass-Fiber,1.0,70.0,30.775974741116336,synthetic
A36 Steel,3.15,Glass-Fiber,0.89,70.0,29.480254691155224,synthetic
A36 Steel,3.25,Carbon-Fiber,0.89,145.0,26.067001172602104,synthetic
A36 Steel,3.25,Carbon-Fiber,0.89,-60.0,30.539957117762217,synthetic
A36 Steel,3.25,Carbon-Fiber,0.89,70.0,33.38230194258824,synthetic
A36 Steel,3.25,Carbon-Fiber,0.89,-60.0,34.05305463316222,synthetic
A36 Steel,3.25,Carbon-Fiber,0.89,70.0,31.22025256261453,synthetic
A36 Steel,3.25,Carbon-Fiber,0.89,-60.0,33.47384169375973,synthetic
A36 Steel,3.25,Carbon-Fiber,0.89,70.0,30.07224104280453,synthetic
A36 Steel,3.25,Carbon-Fiber,0.89,70.0,31.656022904714145,synthetic
A36 Steel,3.25,Carbon-Fiber,0.89,145.0,29.493066875741405,synthetic
A36 Steel,3.25,Carbon-Fiber,0.89,145.0,34.3,synthetic
A36 Steel,3.25,Carbon-Fiber,0.89,70.0,32.38056671613205,synthetic
A36 Steel,3.25,Carbon-Fiber,0.89,70.0,28.03415518674824,synthetic
A36 Steel,3.25,Carbon-Fiber,0.89,70.0,24.64153681718222,synthetic
A36 Steel,3.25,Carbon-Fiber,0.89,-60.0,33.46516679495883,synthetic
A36 Steel,3.25,Carbon-Fiber,0.89,70.0,33.22501648426394,synthetic
A36 Steel,3.25,Carbon-Fiber,0.89,-60.0,34.3,synthetic
A36 Steel,3.25,Carbon-Fiber,0.89,70.0,28.838142416281013,synthetic
A36 Steel,3.25,Carbon-Fiber,0.89,70.0,31.980218895135028,synthetic
A36 Steel,3.25,Carbon-Fiber,0.89,145.0,29.292993183288704,synthetic
A36 Steel,3.25,Carbon-Fiber,0.89,70.0,31.345937225048925,synthetic
A36 Steel,3.25,Carbon-Fiber,0.89,-60.0,33.120048424827466,synthetic
A36 Steel,3.25,Carbon-Fiber,0.89,70.0,29.962716843491364,synthetic
A36 Steel,3.25,Carbon-Fiber,0.89,70.0,27.44039360239826,synthetic
A36 Steel,3.25,Carbon-Fiber,0.89,-60.0,29.69844336986927,synthetic
A36 Steel,3.25,Carbon-Fiber,0.89,-60.0,32.672190135547304,synthetic
A36 Steel,3.25,Carbon-Fiber,0.89,-60.0,32.74203403418542,synthetic
A36 Steel,3.25,Carbon-Fiber,0.89,70.0,28.711268077655127,synthetic
A36 Steel,3.25,Carbon-Fiber,0.89,-60.0,34.3,synthetic
A36 Steel,3.25,Carbon-Fiber,0.89,70.0,28.8456820012775,synthetic
A36 Steel,3.25,Carbon-Fiber,0.89,145.0,26.067840096778568,synthetic
A36 Steel,3.25,Carbon-Fiber,0.89,-60.0,30.611671258962858,synthetic
A36 Steel,3.25,Carbon-Fiber,0.89,-60.0,34.19728424599161,synthetic
A36 Steel,3.25,Carbon-Fiber,0.89,145.0,32.49017716158622,synthetic
A36 Steel,3.25,Carbon-Fiber,0.89,145.0,27.51025862326883,synthetic
A36 Steel,3.25,Carbon-Fiber,0.89,145.0,28.244932920992106,synthetic
A36 Steel,3.25,Carbon-Fiber,0.89,-60.0,32.360780313608075,synthetic
